emp_no,salary,from_date
10001,80013,1996-06-23
10001,81025,1997-06-23
10001,81097,1998-06-23
10001,84917,1999-06-23
10001,85112,2000-06-22
10001,85097,2001-06-22
10001,88958,2002-06-22
10005,82621,1990-09-12
10005,83735,1991-09-12
10005,85572,1992-09-11
10005,85076,1993-09-11
10005,86050,1994-09-11
10005,88448,1995-09-11
10005,88063,1996-09-10
10005,89724,1997-09-10
10005,90392,1998-09-10
10005,90531,1999-09-10
10005,91453,2000-09-09
10005,94692,2001-09-09
10007,80083,2000-02-08
10007,84456,2001-02-07
10007,88070,2002-02-07
10009,80944,1995-02-16
10009,82507,1996-02-16
10009,85875,1997-02-15
10009,89324,1998-02-15
10009,90668,1999-02-15
10009,93507,2000-02-15
10009,94443,2001-02-14
10009,94409,2002-02-14
10010,80324,2001-11-23
10017,82163,1996-08-02
10017,86157,1997-08-02
10017,89619,1998-08-02
10017,91985,1999-08-02
10017,96122,2000-08-01
10017,98522,2001-08-01
10017,99651,2002-08-01
10018,80305,2000-03-30
10018,84541,2001-03-30
10018,84672,2002-03-30
10021,82295,2001-02-06
10021,84169,2002-02-06
10024,83733,1998-06-14
10024,86715,1999-06-14
10024,91067,2000-06-13
10024,94701,2001-06-13
10024,96646,2002-06-13
10030,83327,1999-02-16
10030,86634,2000-02-16
10030,87027,2001-02-15
10030,88806,2002-02-15
10041,81012,2000-11-09
10041,81705,2001-11-09
10042,81662,1993-03-21
10042,84183,1994-03-21
10042,84389,1995-03-21
10042,85501,1996-03-20
10042,89833,1997-03-20
10042,91161,1998-03-20
10042,95035,1999-03-20
10042,94868,2000-03-19
10047,81037,2002-03-28
10050,82220,1992-12-24
10050,86604,1993-12-24
10050,88087,1994-12-24
10050,88836,1995-12-24
10050,90623,1996-12-23
10050,91530,1997-12-23
10050,93689,1998-12-23
10050,97571,1999-12-23
10050,97817,2000-12-22
10050,97830,2001-12-22
10055,80024,1992-04-27
10055,83592,1993-04-27
10055,87473,1994-04-27
10055,90843,1995-04-27
10059,80739,1994-06-25
10059,82318,1995-06-25
10059,84522,1996-06-24
10059,86290,1997-06-24
10059,89824,1998-06-24
10059,90380,1999-06-24
10059,90689,2000-06-23
10059,93280,2001-06-23
10059,94161,2002-06-23
10060,84052,1998-05-26
10060,85960,1999-05-26
10060,87773,2000-05-25
10060,89769,2001-05-25
10060,93188,2002-05-25
10061,80248,1995-12-01
10061,84445,1996-11-30
10061,88012,1997-11-30
10061,90972,1998-11-30
10061,91371,1999-11-30
10061,95866,2000-11-29
10061,97338,2001-11-29
10066,82819,1990-02-25
10066,84064,1991-02-25
10066,84161,1992-02-25
10066,84368,1993-02-24
10066,88392,1994-02-24
10066,88808,1995-02-24
10066,92405,1996-02-24
10066,96451,1997-02-23
10066,98656,1998-02-23
10066,99199,1999-02-23
10066,102425,2000-02-23
10066,102674,2001-02-22
10066,103672,2002-02-22
10067,81784,2001-02-28
10067,83254,2002-02-28
10068,87964,1987-08-07
10068,92176,1988-08-06
10068,92089,1989-08-06
10068,93474,1990-08-06
10068,94724,1991-08-06
10068,97058,1992-08-05
10068,100005,1993-08-05
10068,101829,1994-08-05
10068,101630,1995-08-05
10068,105533,1996-08-04
10068,106204,1997-08-04
10068,108345,1998-08-04
10068,111623,1999-08-04
10068,112470,2000-08-03
10068,113229,2001-08-03
10069,82731,2000-06-12
10069,85931,2001-06-12
10069,86641,2002-06-12
10070,82124,1995-10-12
10070,83639,1996-10-11
10070,87499,1997-10-11
10070,87086,1998-10-11
10070,90690,1999-10-11
10070,94654,2000-10-10
10070,96322,2001-10-10
10074,80820,2001-08-10
10084,81977,1998-12-14
10084,86412,1999-12-14
10084,90039,2000-12-13
10084,93621,2001-12-13
10086,81613,1992-02-19
10086,81404,1993-02-18
10086,80991,1994-02-18
10086,80941,1995-02-18
10086,80934,1996-02-18
10086,84324,1997-02-17
10086,88049,1998-02-17
