emp_no,total_titles
10001,1
10002,1
10003,1
10004,2
10005,2
10006,1
10007,2
10008,1
10009,3
10010,1
10011,1
10012,2
10013,1
10014,1
10015,1
10016,1
10017,2
10018,2
10019,1
10020,1
10021,1
10022,1
10023,1
10024,1
10025,1
10026,2
10027,2
10028,1
10029,2
10030,2
10031,2
10032,2
10033,1
10034,1
10035,2
10036,1
10037,2
10038,2
10039,2
10040,2
10041,2
10042,2
10043,2
10044,1
10045,1
10046,2
10047,2
10048,1
10049,2
10050,2
10051,2
10052,2
10053,1
10054,2
10055,1
10056,2
10057,2
10058,1
10059,1
10060,2
10061,1
10062,2
10063,1
10064,1
10065,1
10066,3
10067,2
10068,2
10069,1
10070,1
10071,1
10072,2
10073,1
10074,1
10075,1
10076,1
10077,1
10078,1
10079,1
10080,2
10081,2
10082,1
10083,2
10084,2
10085,1
10086,2
10087,1
10088,2
10089,2
10090,1
10091,2
10092,1
10093,1
10094,1
10095,2
10096,1
10097,2
10098,2
10099,2
10100,2
10101,1
10102,2
10103,1
10104,1
10105,1
10106,2
10107,1
10108,1
10109,2
10110,2
10111,2
10112,1
10113,1
10114,2
10115,1
10116,1
10117,1
10118,1
10119,1
10120,1
10121,2
10122,1
10123,2
10124,2
10125,1
10126,2
10127,1
10128,2
10129,1
10130,1
10131,1
10132,1
10133,2
10134,2
10135,2
10136,2
10137,2
10138,2
10139,1
10140,2
10141,1
10142,2
10143,2
10144,2
10145,1
10146,1
10147,2
10148,1
10149,1
10150,2
10151,2
10152,1
10153,1
10154,1
10155,2
10156,2
10157,1
10158,2
10159,1
10160,2
10161,1
10162,1
10163,1
10164,2
10165,1
10166,1
10167,2
10168,2
10169,1
10170,1
10171,1
10172,1
10173,2
10174,2
10175,1
10176,2
10177,1
10178,1
10179,1
10180,2
10181,1
10182,2
10183,1
10184,1
10185,2
10186,1
10187,2
10188,1
10189,1
10190,2
10191,1
10192,2
10193,1
10194,2
10195,2
10196,1
10197,2
10198,2
10199,1
10200,2
10201,2
10202,2
10203,2
10204,1
10205,1
10206,1
10207,2
10208,1
10209,2
10210,2
10211,2
10212,2
10213,1
10214,1
10215,1
10216,2
10217,1
10218,1
10219,1
10220,1
10221,2
10222,2
10223,1
10224,2
10225,1
10226,1
10227,1
10228,2
10229,1
10230,2
10231,1
10232,2
10233,2
10234,2
10235,1
10236,1
10237,2
10238,1
10239,1
10240,1
10241,2
10242,2
10243,1
10244,1
10245,1
10246,1
10247,2
10248,2
10249,2
10250,2
10251,2
10252,2
10253,2
10254,2
10255,2
10256,2
10257,1
10258,3
10259,2
10260,2
10261,1
10262,1
10263,1
10264,1
10265,1
10266,1
10267,1
10268,1
10269,2
10270,2
10271,2
10272,1
10273,2
10274,1
10275,1
10276,2
10277,2
10278,1
10279,1
10280,1
10281,2
10282,2
10283,2
10284,1
10285,1
10286,1
10287,2
10288,1
10289,1
10290,2
10291,2
10292,2
10293,2
10294,1
10295,2
10296,2
10297,2
10298,1
10299,2
10300,2
10301,2
10302,2
10303,1
10304,2
10305,1
10306,1
10307,1
10308,2
10309,1
10310,1
